referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.54,0.46014828544949027,993,1165,0.08962739174219536,0.08962739174219536,0.9456066945606695,0.8188405797101449,0.9313186813186813,0.8528301886792453,0.07993506273997854,0.029796096336582808,0.5,lightgbm,dwac
0.56,0.4402224281742354,950,1208,0.0863157894736842,0.0863157894736842,0.9461426491994177,0.8288973384030418,0.935251798561151,0.8549019607843137,0.0774421269611798,0.029905968753256452,0.5,lightgbm,dwac
0.58,0.4198331788693234,906,1252,0.08609271523178808,0.08609271523178808,0.9428129829984544,0.8416988416988417,0.9370199692780338,0.8549019607843137,0.07691350567501387,0.027765947377363084,0.5,lightgbm,dwac
0.6,0.39990732159406855,863,1295,0.08227114716106605,0.08227114716106605,0.939443535188216,0.8650793650793651,0.944078947368421,0.8549019607843137,0.07394720068146361,0.029437053957241856,0.5,lightgbm,dwac
0.62,0.3799814643188137,820,1338,0.07926829268292683,0.07926829268292683,0.9416809605488851,0.869198312236287,0.946551724137931,0.8583333333333333,0.07151088855258018,0.0284630573166465,0.5,lightgbm,dwac
0.64,0.3600556070435589,777,1381,0.07464607464607464,0.07464607464607464,0.953125,0.845771144278607,0.946551724137931,0.8629441624365483,0.06785198842247088,0.03017001183515746,0.5,lightgbm,dwac
0.66,0.340129749768304,734,1424,0.07220708446866485,0.07220708446866485,0.9614711033274956,0.8098159509202454,0.946551724137931,0.8571428571428571,0.06581981500955278,0.03158933539884245,0.5,lightgbm,dwac
0.68,0.32020389249304915,691,1467,0.0694645441389291,0.0694645441389291,0.9637023593466425,0.8,0.9499105545617174,0.8484848484848485,0.06344194825215865,0.03098887743427204,0.5,lightgbm,dwac
0.7,0.29981464318813716,647,1511,0.06491499227202473,0.06491499227202473,0.9636015325670498,0.816,0.9562737642585551,0.8429752066115702,0.059511900242301116,0.029244346677681596,0.5,lightgbm,dwac
0.72,0.2798887859128823,604,1554,0.06456953642384106,0.06456953642384106,0.9639278557114228,0.8,0.9581673306772909,0.8235294117647058,0.059122158856770704,0.031828462352057815,0.5,lightgbm,dwac
0.74,0.25996292863762743,561,1597,0.058823529411764705,0.058823529411764705,0.9704641350210971,0.7816091954022989,0.9603340292275574,0.8292682926829268,0.054113278644712284,0.029261034291475918,0.5,lightgbm,dwac
0.76,0.24003707136237257,518,1640,0.05019305019305019,0.05019305019305019,0.9778761061946902,0.7575757575757576,0.9650655021834061,0.8333333333333334,0.04656228796081392,0.02407232639325059,0.5,lightgbm,dwac
0.78,0.2201112140871177,475,1683,0.04,0.04,0.986046511627907,0.7111111111111111,0.9702517162471396,0.8421052631578947,0.03762383239722253,0.017578064464570112,0.5,lightgbm,dwac
0.8,0.20018535681186284,432,1726,0.034722222222222224,0.034722222222222224,0.9950617283950617,0.5185185185185185,0.96875,0.875,0.032801762244290954,0.01604933501997722,0.5,lightgbm,dwac
0.82,0.17979610750695088,388,1770,0.02577319587628866,0.02577319587628866,0.994535519125683,0.6363636363636364,0.978494623655914,0.875,0.024546321489510085,0.010050266398893561,0.5,lightgbm,dwac
0.84,0.15987025023169602,345,1813,0.008695652173913044,0.008695652173913044,1.0,0.4,0.9912536443148688,1.0,0.008693480873912703,0.0041956744828294075,0.5,lightgbm,dwac
0.86,0.13994439295644115,302,1856,0.009933774834437087,0.009933774834437087,1.0,0.0,0.9900662251655629,,0.009768720850360551,1.0075665341502393e-05,0.5,lightgbm,dwac
0.88,0.12001853568118628,259,1899,0.007722007722007722,0.007722007722007722,1.0,0.0,0.9922779922779923,,0.007595396314163575,0.0003306940319249829,0.5,lightgbm,dwac
